CHARGE_FILING_DATE,CP_SEX,CP_NATIONAL_ORIGIN,CP_DOB,HISPANIC_CP,CP_RACE_STRING,R_NAICS_CODE,R_NAICS_DESCRIPTION,R_NUMBER_OF_EMPLOYEES,R_TYPE
Nov/09/2007 ,Female,Other National Origin - Obsolete,Jan/18/1970 ,NULL,B,NULL,NULL,Unknown Number Of Employees,Union
Nov/09/2007 ,Female,Other National Origin - Obsolete,Oct/15/1971 ,NULL,W,NULL,NULL,101 - 200 Employees,State/Local Govt
Nov/09/2007 ,Male,American (U.S.) National Origin,Feb/16/1941 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Nov/09/2007 ,Female,Hispanic - Obsolete,Mar/05/1972 ,NULL,O,NULL,NULL,501+ Employees,Private Employer
Nov/13/2007 ,Female,NULL,Jul/31/1956 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Nov/13/2007 ,Female,NULL,May/18/1962 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Nov/13/2007 ,Female,NULL,Jun/02/1959 ,NULL,W,325510,Paint and Coating Manufacturing,501+ Employees,Private Employer
Nov/13/2007 ,Female,Other National Origin - Obsolete,May/16/1962 ,NULL,W,452910,Warehouse Clubs and Supercenters,501+ Employees,Private Employer
Nov/13/2007 ,Female,Other National Origin - Obsolete,May/17/1969 ,NULL,W,313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills,Under 15 Employees,Private Employer
Nov/14/2007 ,Male,Other National Origin - Obsolete,Mar/19/1946 ,NULL,W,445110,Supermarkets and Other Grocery (except Convenience) Stores,15 - 100 Employees,Private Employer
Nov/14/2007 ,Female,NULL,Nov/27/1969 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Nov/14/2007 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Nov/14/2007 ,Female,Other National Origin - Obsolete,Feb/05/1965 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Nov/14/2007 ,Male,Other National Origin - Obsolete,Apr/30/1962 ,NULL,B,562998,All Other Miscellaneous Waste Management Services,501+ Employees,Private Employer
Nov/15/2007 ,Female,NULL,Sep/22/1975 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Nov/15/2007 ,Female,NULL,Jan/23/1981 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Nov/15/2007 ,Female,Other National Origin - Obsolete,Feb/14/1963 ,NULL,B,621999,All Other Miscellaneous Ambulatory Health Care Services,15 - 100 Employees,Private Employer
Nov/15/2007 ,Female,American (U.S.) National Origin,Apr/05/1974 ,NULL,W,622110,General Medical and Surgical Hospitals,501+ Employees,Private Employer
Nov/16/2007 ,Male,Hispanic - Obsolete,Nov/23/1973 ,NULL,W,237990,Other Heavy and Civil Engineering Construction,501+ Employees,Private Employer
Nov/16/2007 ,Female,Other National Origin - Obsolete,Nov/18/1966 ,NULL,W,524126,Direct Property and Casualty Insurance Carriers,501+ Employees,Private Employer
Nov/16/2007 ,Female,NULL,NULL,NULL,B,326299,All Other Rubber Product Manufacturing,15 - 100 Employees,Private Employer
Nov/19/2007 ,Female,"Arab, Afganhi or Middle-Eastern - Obsolete",Jun/20/1984 ,NULL,O,531190,Lessors of Other Real Estate Property,501+ Employees,Private Employer
Nov/19/2007 ,Female,NULL,Feb/16/1962 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Nov/19/2007 ,Female,NULL,Dec/29/1983 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Nov/19/2007 ,Female,NULL,Jul/11/1982 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Nov/19/2007 ,Female,Other National Origin - Obsolete,Dec/24/1970 ,NULL,W,621999,All Other Miscellaneous Ambulatory Health Care Services,15 - 100 Employees,Private Employer
Nov/19/2007 ,Male,NULL,NULL,NULL,NULL,622110,General Medical and Surgical Hospitals,101 - 200 Employees,Private Employer
Nov/20/2007 ,Female,NULL,May/20/1956 ,NULL,B,624190,Other Individual and Family Services,201 - 500 Employees,Private Employer
Nov/20/2007 ,Female,NULL,Oct/12/1983 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Nov/20/2007 ,Female,NULL,May/31/1979 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Nov/21/2007 ,Female,Hispanic - Obsolete,NULL,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Nov/23/2007 ,Female,Other National Origin - Obsolete,Feb/28/1962 ,NULL,B,622110,General Medical and Surgical Hospitals,501+ Employees,Private Employer
Nov/23/2007 ,Female,NULL,Jul/13/1963 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Nov/26/2007 ,Male,Hispanic - Obsolete,Nov/26/1957 ,NULL,I,NULL,NULL,201 - 500 Employees,Private Employer
Nov/26/2007 ,Female,Other National Origin - Obsolete,Jun/26/1967 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Nov/27/2007 ,Female,Other National Origin - Obsolete,Dec/18/1973 ,NULL,B,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employment Agency
Nov/27/2007 ,Female,Other National Origin - Obsolete,Mar/16/1967 ,NULL,W,NULL,NULL,501+ Employees,Public College/University
Nov/27/2007 ,Female,NULL,Sep/04/1975 ,NULL,B,541330,Engineering Services,501+ Employees,Private Employer
Nov/27/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,NULL,722110,Full-Service Restaurants,501+ Employees,Private Employer
Nov/28/2007 ,Female,NULL,Apr/26/1970 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Nov/28/2007 ,CP Sex Not Available/Applicable,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Nov/28/2007 ,Male,Hispanic - Obsolete,Mar/15/1977 ,NULL,NULL,421510,Metal Service Centers and Offices,101 - 200 Employees,Private Employer
Nov/29/2007 ,Female,Other National Origin - Obsolete,Jan/10/1969 ,NULL,B,541611,Administrative Management and General Management Consulting Services,201 - 500 Employees,Private Employer
Nov/29/2007 ,Female,NULL,Jun/27/1953 ,NULL,W,NULL,NULL,101 - 200 Employees,Private Employer
Nov/29/2007 ,Female,Other National Origin - Obsolete,Nov/02/1960 ,NULL,W,441229,All Other Motor Vehicle Dealers,101 - 200 Employees,Private Employer
Nov/29/2007 ,Male,NULL,Jan/05/1969 ,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Nov/29/2007 ,Female,Other National Origin - Obsolete,Mar/23/1965 ,NULL,I,NULL,NULL,201 - 500 Employees,Private Employer
Nov/29/2007 ,Female,Other National Origin - Obsolete,Feb/21/1958 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Nov/30/2007 ,Female,Other National Origin - Obsolete,Jul/10/1984 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Nov/30/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,O,NULL,NULL,101 - 200 Employees,State/Local Govt
Nov/30/2007 ,Female,NULL,Aug/23/1953 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Nov/30/2007 ,CP Sex Not Available/Applicable,NULL,Mar/26/1982 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Nov/30/2007 ,Female,NULL,Sep/26/1992 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Nov/30/2007 ,Male,Other National Origin - Obsolete,Dec/15/1966 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/03/2007 ,Female,NULL,Jul/24/1960 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Dec/03/2007 ,Male,NULL,Apr/11/1978 ,NULL,B,NULL,NULL,101 - 200 Employees,Private Employer
Dec/03/2007 ,Male,Other National Origin - Obsolete,Oct/13/1970 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Dec/03/2007 ,Female,NULL,Sep/24/1965 ,NULL,NULL,448310,Jewelry Stores,15 - 100 Employees,Private Employer
Dec/03/2007 ,Female,Other National Origin - Obsolete,Jan/31/1958 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Dec/03/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,B,NULL,NULL,501+ Employees,Public College/University
Dec/04/2007 ,Male,Other National Origin - Obsolete,Mar/05/1958 ,NULL,W,561790,Other Services to Buildings and Dwellings,15 - 100 Employees,Private Employer
Dec/04/2007 ,Female,Other National Origin - Obsolete,Dec/10/1958 ,NULL,A,444190,Other Building Material Dealers,501+ Employees,Private Employer
Dec/04/2007 ,Female,NULL,Dec/28/1954 ,NULL,B,339999,All Other Miscellaneous Manufacturing,15 - 100 Employees,Private Employer
Dec/05/2007 ,CP Sex Not Available/Applicable,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Dec/05/2007 ,Male,NULL,Aug/05/1955 ,NULL,NULL,NULL,NULL,101 - 200 Employees,Private Employer
Dec/06/2007 ,Female,NULL,May/20/1987 ,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Dec/06/2007 ,Female,Other National Origin - Obsolete,Aug/17/1968 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/06/2007 ,CP Sex Not Available/Applicable,NULL,NULL,NULL,NULL,621999,All Other Miscellaneous Ambulatory Health Care Services,15 - 100 Employees,Private Employer
Dec/06/2007 ,CP Sex Not Available/Applicable,NULL,Aug/03/1973 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Dec/06/2007 ,Female,Other National Origin - Obsolete,Dec/06/1973 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employment Agency
Dec/06/2007 ,Female,Other National Origin - Obsolete,Dec/06/1973 ,NULL,W,541330,Engineering Services,NULL,Private Employer
Dec/06/2007 ,Male,Other National Origin - Obsolete,Jan/16/1966 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Dec/06/2007 ,Female,Other National Origin - Obsolete,Aug/08/1983 ,NULL,B,721110,Hotels (except Casino Hotels) and Motels,15 - 100 Employees,Private Employer
Sep/12/2007 ,Female,Other National Origin - Obsolete,Oct/09/1962 ,NULL,B,333111,Farm Machinery and Equipment Manufacturing,15 - 100 Employees,Private Employer
Sep/20/2007 ,Female,NULL,Feb/29/1964 ,NULL,B,NULL,NULL,Unknown Number Of Employees,Private Employer
Sep/19/2007 ,Female,Other National Origin - Obsolete,Jan/18/1970 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Sep/21/2007 ,Female,Other National Origin - Obsolete,Jun/27/1973 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Oct/29/2007 ,Female,Other National Origin - Obsolete,Mar/25/1944 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/06/2007 ,Female,Mexican - Obsolete,Aug/24/1976 ,NULL,O,622110,General Medical and Surgical Hospitals,Unknown Number Of Employees,Private Employer
Nov/19/2007 ,Female,NULL,Jan/23/1961 ,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Nov/28/2007 ,Male,Other National Origin - Obsolete,NULL,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Dec/04/2007 ,Female,Other National Origin - Obsolete,Dec/28/1985 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Dec/05/2007 ,Female,American (U.S.) National Origin,Jul/05/1955 ,NULL,B,311211,Flour Milling,501+ Employees,Private Employer
Dec/07/2007 ,Male,Other National Origin - Obsolete,Jul/17/1978 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Dec/07/2007 ,Female,NULL,Dec/27/1969 ,NULL,W,611699,All Other Miscellaneous Schools and Instruction,501+ Employees,Public College/University
Dec/07/2007 ,Female,Unable to Obtain Information from Charging Party,Oct/31/1986 ,NULL,N,NULL,NULL,15 - 100 Employees,Private Employer
Dec/07/2007 ,Female,NULL,Sep/30/1960 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Dec/07/2007 ,Female,Mexican - Obsolete,May/27/1957 ,NULL,W,332510,Hardware Manufacturing,101 - 200 Employees,Private Employer
Dec/07/2007 ,Male,Other National Origin - Obsolete,Jun/03/1958 ,NULL,W,923120,Administration of Public Health Programs,15 - 100 Employees,Private Employer
Dec/10/2007 ,Female,Other National Origin - Obsolete,Jun/04/1972 ,NULL,W,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Dec/10/2007 ,Female,Other National Origin - Obsolete,Oct/09/1983 ,NULL,B,221210,Natural Gas Distribution,15 - 100 Employees,Private Employer
Dec/10/2007 ,Female,Other National Origin - Obsolete,May/01/1963 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Dec/10/2007 ,Male,Other National Origin - Obsolete,May/29/1982 ,NULL,W,621999,All Other Miscellaneous Ambulatory Health Care Services,15 - 100 Employees,Private Employer
Dec/10/2007 ,Male,Other National Origin - Obsolete,Aug/13/1958 ,NULL,W,812320,Drycleaning and Laundry Services (except Coin-Operated),15 - 100 Employees,Private Employer
Dec/10/2007 ,Female,Other Caribbean National Origin,Oct/21/1974 ,NULL,B,721110,Hotels (except Casino Hotels) and Motels,201 - 500 Employees,Private Employer
Dec/11/2007 ,Female,NULL,Oct/15/1983 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/11/2007 ,Female,Other National Origin - Obsolete,May/09/1970 ,NULL,W,422590,Other Farm Product Raw Material Wholesalers,15 - 100 Employees,Private Employer
Dec/11/2007 ,Female,Other National Origin - Obsolete,Jun/17/1965 ,NULL,W,334111,Electronic Computer Manufacturing,501+ Employees,Private Employer
Dec/11/2007 ,Female,Other National Origin - Obsolete,Jan/31/1974 ,NULL,W,722110,Full-Service Restaurants,NULL,Private Employer
Dec/11/2007 ,Female,Other National Origin - Obsolete,Jul/03/1967 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Dec/11/2007 ,Female,Hispanic - Obsolete,Aug/23/1962 ,NULL,O,NULL,NULL,501+ Employees,Private Employer
Dec/11/2007 ,Male,Hispanic - Obsolete,Dec/10/1967 ,NULL,W,721110,Hotels (except Casino Hotels) and Motels,501+ Employees,Private Employer
Dec/11/2007 ,Female,NULL,Aug/10/1978 ,NULL,NULL,233110,Land Subdivision and Land Development,201 - 500 Employees,Private Employer
Dec/12/2007 ,Male,Mexican - Obsolete,Oct/12/1964 ,NULL,O,NULL,NULL,201 - 500 Employees,Private Employer
Dec/12/2007 ,Female,NULL,Dec/05/1963 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Dec/12/2007 ,Female,NULL,May/16/1957 ,NULL,NULL,441222,Boat Dealers,15 - 100 Employees,Private Employer
Dec/12/2007 ,Male,Other National Origin - Obsolete,Mar/03/1966 ,NULL,B,311919,Other Snack Food Manufacturing,201 - 500 Employees,Private Employer
Dec/13/2007 ,Male,Hispanic - Obsolete,Jan/10/1959 ,NULL,O,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Dec/13/2007 ,Female,Other National Origin - Obsolete,Dec/19/1985 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Dec/13/2007 ,Male,Other National Origin - Obsolete,Sep/25/1954 ,NULL,B,624190,Other Individual and Family Services,15 - 100 Employees,Private Employer
Dec/13/2007 ,Female,Mexican - Obsolete,Mar/24/1975 ,NULL,O,488510,Freight Transportation Arrangement,101 - 200 Employees,Private Employer
Dec/13/2007 ,Female,Other National Origin - Obsolete,Jun/28/1957 ,NULL,W,315999,Other Apparel Accessories and Other Apparel Manufacturing,15 - 100 Employees,Private Employer
Dec/13/2007 ,CP Sex Not Available/Applicable,Other National Origin - Obsolete,Oct/16/1953 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Dec/14/2007 ,Female,Other National Origin - Obsolete,Dec/31/1970 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Dec/14/2007 ,Female,Other National Origin - Obsolete,Mar/07/1974 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/14/2007 ,Male,Other National Origin - Obsolete,Aug/22/1969 ,NULL,B,722110,Full-Service Restaurants,NULL,Private Employer
Dec/17/2007 ,Female,American (U.S.) National Origin,Oct/05/1957 ,NULL,B,NULL,NULL,501+ Employees,State/Local Govt
Dec/17/2007 ,Female,Mexican - Obsolete,Jun/12/1978 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Dec/18/2007 ,Female,NULL,Feb/03/1981 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Dec/18/2007 ,Female,NULL,Feb/03/1981 ,NULL,B,NULL,NULL,NULL,Private Employer
Dec/18/2007 ,Female,NULL,Aug/05/1959 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Dec/18/2007 ,Female,Hispanic - Obsolete,Feb/23/1977 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/18/2007 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,101 - 200 Employees,Private Employer
Dec/18/2007 ,Male,NULL,Jan/04/1958 ,NULL,B,NULL,NULL,101 - 200 Employees,Private Employer
Dec/18/2007 ,Male,Other National Origin - Obsolete,Nov/26/1951 ,NULL,B,531190,Lessors of Other Real Estate Property,15 - 100 Employees,Private Employer
Dec/18/2007 ,Female,Other National Origin - Obsolete,Mar/16/1971 ,NULL,B,721199,All Other Traveler Accommodation,15 - 100 Employees,Private Employer
Dec/19/2007 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Dec/19/2007 ,Male,Other National Origin - Obsolete,Jul/29/1976 ,NULL,W,621999,All Other Miscellaneous Ambulatory Health Care Services,15 - 100 Employees,Private Employer
Dec/19/2007 ,Female,Other National Origin - Obsolete,Oct/17/1977 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/20/2007 ,Male,Other National Origin - Obsolete,May/22/1981 ,NULL,B,NULL,NULL,201 - 500 Employees,Private Employer
Dec/21/2007 ,Female,Other National Origin - Obsolete,Jun/01/1968 ,NULL,B,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant  Wholesalers",101 - 200 Employees,Private Employer
Dec/26/2007 ,Female,Other National Origin - Obsolete,Nov/14/1963 ,NULL,B,611710,Educational Support Services,501+ Employees,Public Elem/Secondary School
Dec/26/2007 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Dec/26/2007 ,Male,Other National Origin - Obsolete,May/17/1963 ,NULL,W,922120,Police Protection,501+ Employees,State/Local Govt
Dec/27/2007 ,Female,NULL,Dec/18/1962 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Dec/27/2007 ,Female,Other National Origin - Obsolete,Oct/12/1972 ,NULL,B,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),501+ Employees,Private Employer
Dec/27/2007 ,Female,Other National Origin - Obsolete,Mar/19/1981 ,NULL,B,624410,Child Day Care Services,15 - 100 Employees,Private College/University
Dec/27/2007 ,Female,Other National Origin - Obsolete,Apr/16/1954 ,NULL,W,488999,All Other Support Activities for Transportation,15 - 100 Employees,Private Employer
Dec/27/2007 ,Female,Other National Origin - Obsolete,May/02/1961 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/27/2007 ,Female,NULL,Nov/18/1958 ,NULL,W,NULL,NULL,501+ Employees,Public College/University
Dec/27/2007 ,CP Sex Not Available/Applicable,Other Caribbean National Origin,Apr/09/1968 ,Y,NULL,NULL,NULL,NULL,Private Employer
Dec/27/2007 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Dec/28/2007 ,Female,Other National Origin - Obsolete,Nov/05/1987 ,NULL,W,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Dec/28/2007 ,Female,Other National Origin - Obsolete,Nov/03/1983 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Dec/31/2007 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Dec/31/2007 ,Female,Other National Origin - Obsolete,Jun/12/1977 ,NULL,W,452111,Department Stores (except Discount Department Stores),501+ Employees,Private Employer
Jan/02/2008 ,Female,Other National Origin - Obsolete,Sep/28/1986 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Jan/02/2008 ,Female,Other National Origin - Obsolete,Sep/27/1959 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Jan/02/2008 ,Female,Other National Origin - Obsolete,NULL,NULL,W,NULL,NULL,501+ Employees,State/Local Govt
Jan/03/2008 ,Female,Other National Origin - Obsolete,Mar/16/1979 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Jan/03/2008 ,Female,Other National Origin - Obsolete,Jul/04/1956 ,NULL,W,621999,All Other Miscellaneous Ambulatory Health Care Services,15 - 100 Employees,Private Employer
Jan/03/2008 ,Male,Other National Origin - Obsolete,Oct/29/1967 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Jan/03/2008 ,Female,Other National Origin - Obsolete,Mar/13/1961 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Jan/03/2008 ,Female,Other National Origin - Obsolete,May/07/1983 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Jan/03/2008 ,Female,Other National Origin - Obsolete,Apr/07/1968 ,NULL,A,518210,"Data Processing, Hosting, and Related Services",Unknown Number Of Employees,Private Employer
Jan/04/2008 ,Female,Other National Origin - Obsolete,Oct/25/1970 ,NULL,B,813110,Religious Organizations,15 - 100 Employees,Private Employer
Jan/04/2008 ,Female,NULL,Nov/16/1976 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Jan/04/2008 ,Female,Other National Origin - Obsolete,NULL,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
